ID,name,position,scale,euler
1,road,"0,0,80","1,1,60","0,0,0"
2,bricksgreen,"0,0,3","1,1,1","0,0,0"
3,bricksyellow,"1,0,3","1,1,1","0,0,0"
4,bricksred,"-1,0,3","1,1,1","0,0,0"
5,bricksgreen,"-1,0,16","1,1,1","0,0,0"
6,bricksgreen,"1,0,32","1,1,1","0,0,0"
7,bricksgreen,"0,0,48","1,1,1","0,0,0"
8,bricksgreen,"-1,0,64","1,1,1","0,0,0"
9,bricksred,"0,0,16","1,1,1","0,0,0"
10,bricksred,"-1,0,32","1,1,1","0,0,0"
11,bricksred,"-1,0,48","1,1,1","0,0,0"
12,bricksred,"0,0,64","1,1,1","0,0,0"
13,bricksyellow,"1,0,16","1,1,1","0,0,0"
14,bricksyellow,"0,0,32","1,1,1","0,0,0"
15,bricksyellow,"1,0,48","1,1,1","0,0,0"
16,bricksyellow,"1,0,64","1,1,1","0,0,0"
17,colorLighty,"0,0,24","2.2,1,1","0,0,0"
18,finishLine,"0,0.1,160","1,1,1","0,0,0"
19,scoreLine,"0,-1.4,98","3,1,1","0,0,0"
20,colorLightg,"0,0,86.65","2.2,1,1","0,0,0"
21,colorLightr,"0,0,57.94","2.2,1,1","0,0,0"
